"Time","Mob BP1"
2022-02-21 22:00:03,1.29
2022-02-21 22:30:03,1.24
2022-02-21 23:00:03,1.23
2022-02-21 23:30:03,1.19
2022-02-22 00:00:03,1.17
2022-02-22 00:30:03,1.18
2022-02-22 01:00:03,1.16
2022-02-22 01:30:03,1.18
2022-02-22 02:00:03,1.17
2022-02-22 02:30:03,1.17
2022-02-22 03:00:03,1.16
2022-02-22 03:30:03,1.17
2022-02-22 04:00:03,1.15
2022-02-22 04:30:03,1.15
2022-02-22 05:00:03,1.13
2022-02-22 05:30:03,1.14
2022-02-22 06:00:03,1.12
2022-02-22 06:30:03,1.11
2022-02-22 07:00:03,1.10
2022-02-22 07:30:03,1.13
2022-02-22 08:00:03,1.14
2022-02-22 08:30:03,1.11
2022-02-22 09:00:03,1.10
2022-02-22 09:30:03,1.31
2022-02-22 10:00:03,1.13
2022-02-22 10:30:03,1.15
2022-02-22 11:00:03,1.16
2022-02-22 11:30:03,1.16
2022-02-22 12:00:03,1.15
2022-02-22 12:30:03,1.12
2022-02-22 13:00:03,1.08
2022-02-22 13:30:03,1.02
2022-02-22 14:00:03,1.00
2022-02-22 14:30:03,1.00
2022-02-22 14:40:03,1.36
2022-02-22 14:50:03,1.05
2022-02-22 15:00:03,0.983
2022-02-22 15:30:03,0.229
2022-02-22 16:00:03,0.233
2022-02-22 16:30:03,0.233
2022-02-22 17:00:03,0.228
2022-02-22 17:30:03,0.233
2022-02-22 18:00:03,0.223
2022-02-22 18:30:03,0.223
2022-02-22 19:00:03,0.230
2022-02-22 19:30:03,0.229
2022-02-22 20:00:03,0.236
2022-02-22 20:30:03,0.227
2022-02-22 21:00:03,0.236
2022-02-22 21:30:03,0.236
2022-02-22 22:00:03,0.245
2022-02-22 22:30:03,0.241
2022-02-22 23:00:03,0.250
2022-02-22 23:30:03,0.261
2022-02-23 00:00:03,0.264
2022-02-23 00:30:03,0.283
2022-02-23 01:00:03,0.294
2022-02-23 01:30:03,0.308
2022-02-23 02:00:03,0.308
2022-02-23 02:30:03,0.273
2022-02-23 03:00:03,0.305
2022-02-23 03:30:03,0.292
2022-02-23 04:00:03,0.283
2022-02-23 04:30:03,0.274
2022-02-23 05:00:03,0.274
2022-02-23 05:30:03,0.266
2022-02-23 06:00:03,0.269
2022-02-23 06:30:03,0.259
2022-02-23 07:00:03,0.267
2022-02-23 07:30:03,0.259
2022-02-23 08:00:03,0.251
2022-02-23 08:30:03,0.252
2022-02-23 09:00:03,0.214
2022-02-23 09:30:03,0.259
2022-02-23 10:00:03,0.256
2022-02-23 10:30:03,0.269
2022-02-23 11:00:03,0.264
2022-02-23 11:10:03,0.130
2022-02-23 11:15:03,0.217
2022-02-23 11:30:03,0.264
2022-02-23 12:00:03,0.241
2022-02-23 12:30:03,0.268
2022-02-23 13:00:03,0.268
2022-02-23 13:30:03,0.270
2022-02-23 14:00:03,0.265
2022-02-23 14:30:03,0.274
2022-02-23 15:00:03,0.230
2022-02-23 15:30:03,0.270
2022-02-23 16:00:03,0.248
2022-02-23 16:10:03,0.151
2022-02-23 16:15:03,0.261
2022-02-23 16:30:03,0.296
2022-02-23 17:00:03,0.272
2022-02-23 17:30:03,0.257
2022-02-23 18:00:03,0.250
2022-02-23 18:30:03,0.250
2022-02-23 19:00:03,0.249
2022-02-23 19:30:03,0.235
2022-02-23 20:00:03,0.237
2022-02-23 20:30:03,0.240
2022-02-23 21:00:03,0.238
2022-02-23 21:30:03,0.233
2022-02-23 22:00:03,0.231
2022-02-23 22:30:03,0.233
2022-02-23 23:00:03,0.237
2022-02-23 23:30:03,0.242
2022-02-24 00:00:03,0.237
2022-02-24 00:30:03,0.232
2022-02-24 01:00:03,0.234
2022-02-24 01:30:03,0.241
2022-02-24 02:00:03,0.248
2022-02-24 02:30:03,0.244
2022-02-24 03:00:03,0.247
2022-02-24 03:30:03,0.243
2022-02-24 04:00:03,0.250
2022-02-24 04:30:03,0.245
2022-02-24 05:00:03,0.247
2022-02-24 05:30:03,0.251
2022-02-24 06:00:03,0.250
2022-02-24 06:30:03,0.249
2022-02-24 07:00:03,0.254
2022-02-24 07:30:03,0.245
2022-02-24 08:00:03,0.250
2022-02-24 08:30:03,0.253
2022-02-24 09:00:03,0.269
2022-02-24 09:30:03,0.280
2022-02-24 10:00:03,0.289
2022-02-24 10:30:03,0.307
2022-02-24 11:00:03,0.310
2022-02-24 11:30:03,0.304
2022-02-24 12:00:03,0.306
2022-02-24 12:30:03,0.316
2022-02-24 13:00:03,0.307
2022-02-24 13:30:03,0.309
2022-02-24 14:00:03,0.313
2022-02-24 14:30:03,0.311
2022-02-24 15:00:03,0.318
2022-02-24 15:30:03,0.321
2022-02-24 16:00:03,0.325
2022-02-24 16:30:03,0.330
2022-02-24 17:00:03,0.325
2022-02-24 17:30:03,0.339
2022-02-24 18:00:03,0.338
2022-02-24 18:30:03,0.341
2022-02-24 19:00:03,0.332
2022-02-24 19:30:03,0.348
2022-02-24 20:00:03,0.344
2022-02-24 20:30:03,0.346
2022-02-24 21:00:03,0.348
2022-02-24 21:30:03,0.347
2022-02-24 22:00:03,0.347
2022-02-24 22:30:03,0.341
2022-02-24 23:00:03,0.344
2022-02-24 23:30:03,0.343
2022-02-25 00:00:03,0.394
